 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1993    83.3   103.1    80.6    49.0    15.2     4.2     0.6    21.6    16.7   186.2    82.6   121.5   144.8    26.5   285.5   383.5   764.7
 1994   151.7   110.3   117.2    59.4     2.7     1.3    12.3     7.9     4.6    33.7    40.8    77.8   179.4    21.5    79.2   251.4   620.0
 1995   106.2    67.3   101.3    30.6    25.2     9.4     0.7     5.4    15.7    97.8   116.9   167.9   157.1    15.4   230.5   490.8   744.4
 1996   155.2   167.7    90.7    47.1    21.5     1.3    36.8    12.3    22.0   115.2   168.2   119.3   159.3    50.4   305.4   343.2   957.5
 1997   142.3    81.5   162.9    83.2    61.4    31.8    22.1    17.2    37.8    65.3   100.6    77.7   307.5    71.2   203.7   437.4   884.0
 1998   190.8   168.9   131.0    26.5    17.4     0.5     9.1     6.0    27.1    72.8   171.3   120.1   175.0    15.6   271.1   350.7   941.6
 1999   116.3   114.3    46.6    23.3    43.2     8.8     2.7     4.8    16.9    95.2    70.7   217.3   113.1    16.2   182.9   465.2   760.1
 2000   155.0    92.9   125.9    63.2    44.8     6.9     3.3     3.9    67.9    69.0   117.6   141.2   233.8    14.1   254.5   317.7   891.5
 2001    70.3   106.3    85.1    78.0    30.6    16.8     7.3    32.4    83.6   102.3   174.7   148.0   193.7    56.4   360.6   402.6   935.4
 2002   148.2   106.3    51.4    67.7    29.2    12.5    15.7    77.5    26.1    42.0    54.8   126.7   148.4   105.7   122.9   287.5   758.2
 2003    93.8    67.0   129.1    44.6    17.6    14.5     2.3    16.5    52.0    45.5    64.9    85.2   191.4    33.2   162.3   354.4   632.8
 2004   157.9   111.3   114.5    37.9    14.0     5.5    17.3    13.7    52.0    40.9    53.3   116.5   166.3    36.4   146.2   342.3   734.6
 2005   127.6    98.2    79.2    59.6    16.8    13.2     2.2     8.3    17.9    59.4    94.1    67.3   155.6    23.8   171.4   386.9   643.8
 2006   162.5   157.2   101.2    59.4    26.4     4.9     2.5    62.4    21.9    77.3   130.6   181.2   187.0    69.8   229.8   316.8   987.4
 2007    84.5    51.1   109.1    76.2     5.3    26.3     4.8     8.1    65.3    92.4   146.8    88.3   190.6    39.2   304.5   281.5   758.1
 2008   124.6    68.6   114.5    51.5    41.6    31.0     2.5     7.8    29.3    52.7   127.5   114.7   207.6    41.4   209.4   395.6   766.4
 2009   159.9   121.0    45.8    28.5    22.2    20.6    10.1    15.3    30.0   118.0   130.3   133.4    96.5    46.1   278.4   491.4   835.2
 2010   227.0   131.0    65.3    55.1    33.2     9.2     3.0    18.1    12.4    59.6   123.9   182.9   153.6    30.3   196.0   553.0   920.8
 2011   260.6   109.5   102.4    76.8    76.7    20.7    12.3    11.1    29.5    36.5    64.8   105.9   255.9    44.2   130.7   320.1   906.7
 2012   117.0    97.2    56.0    26.1     6.3    36.0    11.2     6.6    32.4    84.6    53.5   194.7    88.4    53.8   170.5   352.3   721.7
 2013    89.9    67.6    78.0    33.4     6.9     3.5     4.7     6.3    10.8    58.1    69.7   179.7   118.3    14.5   138.5   379.3   608.6
 2014    69.0   130.6    77.1    38.4    18.9     3.6     2.7    11.3    12.4    33.9   200.4   108.5   134.5    17.5   246.6   246.1   706.7
 2015    70.3    67.3    98.5    23.6    11.6    37.6    16.7     7.9    35.1    39.1    53.7    42.0   133.6    62.3   127.8   213.9   503.3
 2016   120.0    52.0    66.5    44.1    54.9    18.2    28.2    14.6    13.2    68.5    97.9    66.1   165.6    61.0   179.7   372.2   644.3
 2017   171.4   134.7    68.8    25.7    11.4     3.6     2.8     7.1    14.6    77.2    49.0   115.4   106.0    13.6   140.8   291.9   681.8
 2018    82.3    94.2   138.9    66.6    19.4     3.5     5.5    26.2    21.2    49.1    40.0    45.7   224.9    35.2   110.3   279.3   592.6
 2019   102.7   130.9    84.8   126.1    20.2    12.4     2.8     6.4    11.3    21.8    46.7   130.7   231.1    21.5    79.8  -999.0   696.6
